Sensor,Set,Round,Constante_Calibracion_K,Error_K,N_Paths,Status
49259,25.0,1,-0.018062939714821,0.00022612573152555878,4,Calculado
49260,25.0,1,-0.01476732203023714,0.00022968205235544896,4,Calculado
49261,25.0,1,-0.0633901835781048,0.0002229604660341463,4,Calculado
54189,26.0,1,0.4728442367744273,0.00025545138447589797,4,Calculado
54873,26.0,1,0.43143161717784373,0.000244707614904272,4,Calculado
54875,26.0,1,0.5279456994185976,0.00022727662433934094,4,Calculado
55043,26.0,1,,,0,Descartado
55044,26.0,1,0.4367528892625065,0.00022751606903232658,4,Calculado
55045,26.0,1,0.46731493936353274,0.0002551984477004027,4,Calculado
55069,26.0,1,0.5121683191007389,0.00023276614028823483,4,Calculado
55098,26.0,1,0.40308016854886486,0.0002595588474558831,4,Calculado
55104,26.0,1,,,0,Descartado
55189,26.0,1,0.5181530878789283,0.00025506375408591544,4,Calculado
55190,26.0,1,,,0,Descartado
55191,26.0,1,0.49701481183020924,0.0002497493942089891,4,Calculado
54879,27.0,1,0.6184311869430256,0.0002495534565798434,3,Calculado
54880,27.0,1,0.4961267931324505,0.00023343063424112768,3,Calculado
54881,27.0,1,0.5147414256635111,0.00022069614752705276,3,Calculado
54882,27.0,1,0.4664931439274363,0.0002606821246412307,3,Calculado
55072,27.0,1,,,0,Descartado
55073,27.0,1,0.49275414557479724,0.0002396693953900064,3,Calculado
55074,27.0,1,0.4000826217031169,0.0002594050445476693,3,Calculado
55075,27.0,1,,,0,Descartado
55096,27.0,1,0.40886038313590006,0.0002544923948117696,3,Calculado
55097,27.0,1,0.39618634442463885,0.00026074403674484055,3,Calculado
55099,27.0,1,0.3909285869336589,0.0002610279619836192,3,Calculado
55103,27.0,1,,,0,Descartado
54866,28.0,1,0.4696285211981199,0.00021576658751467663,4,Calculado
54867,28.0,1,0.4728093770287851,0.00023165258414696772,4,Calculado
54868,28.0,1,0.45306735100572165,0.00021429759530309847,4,Calculado
55198,28.0,1,,,0,Descartado
55199,28.0,1,,,0,Descartado
55200,28.0,1,0.4026351993848598,0.00022286695280682636,4,Calculado
55201,28.0,1,0.4487617461308486,0.00022906917366273096,4,Calculado
55208,28.0,1,0.46685512835195914,0.0001824429598216306,4,Calculado
55212,28.0,1,0.4958891268282362,0.00022401575530819976,4,Calculado
55213,28.0,1,0.4057244350938306,0.00023582915169712606,4,Calculado
55214,28.0,1,0.4112662361811305,0.00019782883793239436,4,Calculado
55215,28.0,1,0.41534669334822155,0.00019986040021300483,4,Calculado
55176,29.0,1,0.48772913461747036,0.00023157562754552236,4,Calculado
55177,29.0,1,0.43218924214746074,0.000242347094849637,4,Calculado
55178,29.0,1,0.5098997367084191,0.00022892388633638543,4,Calculado
