Sensor,Set,Round,Path_Number,Paso1_From,Paso1_To,Paso1_Set,Paso1_Offset_K,Paso1_Error_K,Paso2_From,Paso2_To,Paso2_Set,Paso2_Offset_K,Paso2_Error_K,Paso3_From,Paso3_To,Paso3_Set,Paso3_Offset_K,Paso3_Error_K,Total_Offset_K,Total_Error_K
55208,28.0,1,0,55208,PROMEDIO,28.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.46685512835195914,0.0001824429598216306
55208,28.0,1,1,55208,55215,28.0,0.050978850901015615,0.000290393594470446,55215,55253,53.0,-0.17430159165469097,0.0004030941079320694,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.46730743017625964,0.0005271836684668072
55208,28.0,1,2,55208,55215,28.0,0.050978850901015615,0.000290393594470446,55215,55227,53.0,0.022576517164942335,0.0002845081214890236,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.46412876107947587,0.00044122589282075814
55208,28.0,1,3,55208,55208,28.0,0.0,0.0,55208,55253,53.0,-0.12100161975808586,0.0003466540882071683,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.4696285511718491,0.0003889452115785037
55208,28.0,1,4,55208,55208,28.0,0.0,0.0,55208,55227,53.0,0.07587648906154745,0.00019654278977974588,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.46644988207506544,0.000260837201731658
55212,28.0,1,0,55212,PROMEDIO,28.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.4958891268282362,0.00022401575530819976
55212,28.0,1,1,55212,55208,28.0,0.02915815384007637,0.00027246183286001017,55208,55253,53.0,-0.12100161975808586,0.0003466540882071683,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.49878670501192546,0.0004748829623973502
55212,28.0,1,2,55212,55208,28.0,0.02915815384007637,0.00027246183286001017,55208,55227,53.0,0.07587648906154745,0.00019654278977974588,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.4956080359151418,0.0003771889396212961
55212,28.0,1,3,55212,55215,28.0,0.08013700474109198,0.0003023923492246958,55215,55253,53.0,-0.17430159165469097,0.0004030941079320694,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.496465584016336,0.0005338869856610901
55212,28.0,1,4,55212,55215,28.0,0.08013700474109198,0.0003023923492246958,55215,55227,53.0,0.022576517164942335,0.0002845081214890236,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.49328691491955223,0.0004492137371626558
